14/11/2017 17:43:08 | SUCCESS | Delete HomeSettingTag (17) | By-Test_ott025 | delete from home_title_tag where tags_id='17'
14/11/2017 17:43:09 | SUCCESS | Delete HomeSettingTag (18) | By-Test_ott025 | delete from home_title_tag where tags_id='18'
14/11/2017 17:43:26 | SUCCESS | Add New HomeSettingTag(RIDE IT) | By-Test_ott025 | 
14/11/2017 17:43:28 | SUCCESS | Home Setting active(HomeID:19,Status:active) | By-Test_ott025 | 
14/11/2017 17:43:39 | SUCCESS | Add New HomeSettingTag(NATURE) | By-Test_ott025 | 
14/11/2017 17:43:41 | SUCCESS | Home Setting active(HomeID:20,Status:active) | By-Test_ott025 | 
14/11/2017 17:43:53 | SUCCESS | Add New HomeSettingTag(ANIMALS) | By-Test_ott025 | 
14/11/2017 17:43:57 | SUCCESS | Home Setting active(HomeID:21,Status:active) | By-Test_ott025 | 
14/11/2017 17:45:29 | SUCCESS | Delete Menu Header (5) | By-Test_ott025 | DELETE FROM header_menu WHERE hid='5'
14/11/2017 17:45:31 | SUCCESS | Delete Menu Header (12) | By-Test_ott025 | DELETE FROM header_menu WHERE hid='12'
14/11/2017 17:45:33 | SUCCESS | Delete Menu Header (11) | By-Test_ott025 | DELETE FROM header_menu WHERE hid='11'
14/11/2017 17:45:34 | SUCCESS | Delete Menu Header (10) | By-Test_ott025 | DELETE FROM header_menu WHERE hid='10'
14/11/2017 17:45:36 | SUCCESS | Delete Menu Header (9) | By-Test_ott025 | DELETE FROM header_menu WHERE hid='9'
